estado,semanaEpi,casosNovos_sum,casosNovos_mean,obitosNovos_sum,obitosNovos_mean
AC,1,34,0.2111801242236025,2,0.012422360248447204
AC,2,2464,15.304347826086957,4,0.024844720496894408
AC,3,7796,48.422360248447205,2,0.012422360248447204
AC,4,8592,53.36645962732919,22,0.13664596273291926
AC,5,16090,99.93788819875776,56,0.34782608695652173
AC,6,9112,56.59627329192546,46,0.2857142857142857
AC,7,11584,71.95031055900621,72,0.4472049689440994
AC,8,8694,54.0,32,0.19875776397515527
AC,9,3898,24.211180124223603,22,0.13664596273291926
AC,10,1704,10.583850931677018,16,0.09937888198757763
AC,11,594,3.68944099378882,4,0.024844720496894408
AC,12,220,1.3664596273291925,4,0.024844720496894408
AC,13,72,0.4472049689440994,2,0.012422360248447204
AC,14,24,0.14906832298136646,4,0.024844720496894408
AC,15,1058,6.571428571428571,2,0.012422360248447204
AC,16,558,3.4658385093167703,4,0.024844720496894408
AC,17,576,3.577639751552795,8,0.049689440993788817
AC,18,96,0.5962732919254659,0,0.0
AC,19,2,0.012422360248447204,0,0.0
AC,20,8,0.049689440993788817,0,0.0
AC,21,2,0.012422360248447204,0,0.0
AC,22,272,1.68944099378882,0,0.0
AC,23,130,0.8074534161490683,0,0.0
AC,24,152,0.9440993788819876,0,0.0
AC,25,498,3.093167701863354,0,0.0
AC,26,2806,17.428571428571427,4,0.024844720496894408
AC,27,6000,37.267080745341616,4,0.024844720496894408
AC,28,9924,61.63975155279503,6,0.037267080745341616
AC,29,5248,57.04347826086956,2,0.021739130434782608
AC,52,4,0.17391304347826086,0,0.0
AL,1,1322,1.815934065934066,6,0.008241758241758242
AL,2,4604,6.324175824175824,10,0.013736263736263736
AL,3,8426,11.574175824175825,28,0.038461538461538464
AL,4,15738,21.61813186813187,52,0.07142857142857142
AL,5,22720,31.208791208791208,70,0.09615384615384616
AL,6,24524,33.68681318681319,102,0.1401098901098901
AL,7,15470,21.25,140,0.19230769230769232
AL,8,4150,5.700549450549451,158,0.21703296703296704
AL,9,5358,7.3598901098901095,142,0.19505494505494506
AL,10,1868,2.565934065934066,116,0.15934065934065933
AL,11,2266,3.1126373626373627,92,0.12637362637362637
AL,12,1316,1.8076923076923077,56,0.07692307692307693
AL,13,552,0.7582417582417582,38,0.0521978021978022
AL,14,1526,2.0961538461538463,30,0.04120879120879121
AL,15,372,0.510989010989011,22,0.03021978021978022
AL,16,856,1.1758241758241759,14,0.019230769230769232
AL,17,694,0.9532967032967034,10,0.013736263736263736
AL,18,762,1.0467032967032968,14,0.019230769230769232
AL,19,440,0.6043956043956044,6,0.008241758241758242
AL,20,214,0.29395604395604397,0,0.0
AL,21,760,1.043956043956044,0,0.0
AL,22,902,1.239010989010989,0,0.0
AL,23,926,1.271978021978022,0,0.0
AL,24,1824,2.5054945054945055,6,0.008241758241758242
AL,25,4024,5.527472527472527,10,0.013736263736263736
AL,26,6872,9.43956043956044,28,0.038461538461538464
AL,27,10260,14.093406593406593,50,0.06868131868131869
AL,28,6532,8.972527472527473,60,0.08241758241758242
AL,29,2488,5.980769230769231,42,0.10096153846153846
AL,52,22,0.21153846153846154,0,0.0
AM,1,3068,6.956916099773243,16,0.036281179138321996
AM,2,22592,51.229024943310655,24,0.05442176870748299
AM,3,84164,190.84807256235828,50,0.11337868480725624
AM,4,75116,170.3310657596372,94,0.21315192743764172
AM,5,42402,96.14965986394557,156,0.35374149659863946
AM,6,28960,65.66893424036282,114,0.2585034013605442
AM,7,13250,30.045351473922903,48,0.10884353741496598
AM,8,8750,19.841269841269842,56,0.12698412698412698
AM,9,3300,7.482993197278912,28,0.06349206349206349
AM,10,6890,15.62358276643991,24,0.05442176870748299
AM,11,4296,9.741496598639456,12,0.027210884353741496
AM,12,1596,3.619047619047619,8,0.018140589569160998
AM,13,634,1.437641723356009,12,0.027210884353741496
AM,14,564,1.2789115646258504,6,0.013605442176870748
AM,15,344,0.780045351473923,12,0.027210884353741496
AM,16,290,0.6575963718820862,6,0.013605442176870748
AM,17,482,1.09297052154195,6,0.013605442176870748
AM,18,310,0.7029478458049887,0,0.0
AM,19,298,0.6757369614512472,0,0.0
AM,20,298,0.6757369614512472,0,0.0
AM,21,234,0.5306122448979592,4,0.009070294784580499
AM,22,174,0.3945578231292517,2,0.0045351473922902496
AM,23,316,0.7165532879818595,0,0.0
AM,24,454,1.0294784580498866,4,0.009070294784580499
AM,25,1498,3.3968253968253967,0,0.0
AM,26,4122,9.346938775510203,2,0.0045351473922902496
AM,27,8542,19.369614512471657,10,0.022675736961451247
AM,28,11454,25.972789115646258,24,0.05442176870748299
AM,29,5836,23.158730158730158,14,0.05555555555555555
AM,52,74,1.1746031746031746,2,0.031746031746031744
AP,1,934,7.848739495798319,4,0.03361344537815126
AP,2,2638,22.168067226890756,12,0.10084033613445378
AP,3,13184,110.78991596638656,12,0.10084033613445378
AP,4,30084,252.80672268907563,26,0.2184873949579832
AP,5,11656,97.94957983193277,16,0.13445378151260504
AP,6,5640,47.39495798319328,42,0.35294117647058826
AP,7,1586,13.327731092436975,38,0.31932773109243695
AP,8,408,3.4285714285714284,10,0.08403361344537816
AP,9,114,0.957983193277311,22,0.18487394957983194
AP,10,140,1.1764705882352942,10,0.08403361344537816
AP,11,106,0.8907563025210085,4,0.03361344537815126
AP,12,126,1.0588235294117647,4,0.03361344537815126
AP,13,52,0.4369747899159664,8,0.06722689075630252
AP,14,26,0.2184873949579832,4,0.03361344537815126
AP,15,18,0.15126050420168066,0,0.0
AP,16,22,0.18487394957983194,4,0.03361344537815126
AP,17,24,0.20168067226890757,0,0.0
AP,18,16,0.13445378151260504,4,0.03361344537815126
AP,19,4,0.03361344537815126,0,0.0
AP,20,28,0.23529411764705882,0,0.0
AP,21,10,0.08403361344537816,4,0.03361344537815126
AP,22,54,0.453781512605042,0,0.0
AP,23,52,0.4369747899159664,6,0.05042016806722689
AP,24,90,0.7563025210084033,6,0.05042016806722689
AP,25,510,4.285714285714286,0,0.0
AP,26,1674,14.067226890756302,0,0.0
AP,27,5622,47.2436974789916,2,0.01680672268907563
AP,28,11514,96.75630252100841,16,0.13445378151260504
AP,29,5174,76.08823529411765,0,0.0
AP,52,64,3.764705882352941,0,0.0
BA,1,11606,3.957040572792363,164,0.05591544493692465
BA,2,20504,6.990794408455506,138,0.0470508012274122
BA,3,50574,17.24309580634163,224,0.07637231503579953
BA,4,86258,29.409478349812478,274,0.09341970678486192
BA,5,101036,34.44800545516536,514,0.1752471871803614
BA,6,92694,31.60381861575179,626,0.21343334469826117
BA,7,64332,21.933856120013637,810,0.2761677463348108
BA,8,33138,11.298329355608592,522,0.17797476986021138
BA,9,15742,5.367200818274804,428,0.1459256733719741
BA,10,18264,6.227071258097511,254,0.08660075008523696
BA,11,12640,4.309580634162973,196,0.06682577565632458
