estado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AC,34,2464,7796,8592,16090,9112,11584,8694,3898,1704,594,220,72,24,1058,558,576,96,2,8,2,272,130,152,498,2806,6000,9924,5248
AL,1322,4604,8426,15738,22720,24524,15470,4150,5358,1868,2266,1316,552,1526,372,856,694,762,440,214,760,902,926,1824,4024,6872,10260,6532,2488
AM,3068,22592,84164,75116,42402,28960,13250,8750,3300,6890,4296,1596,634,564,344,290,482,310,298,298,234,174,316,454,1498,4122,8542,11454,5836
AP,934,2638,13184,30084,11656,5640,1586,408,114,140,106,126,52,26,18,22,24,16,4,28,10,54,52,90,510,1674,5622,11514,5174
BA,11606,20504,50574,86258,101036,92694,64332,33138,15742,18264,12640,9170,9952,5558,4508,4076,3650,3344,2820,1524,3460,2822,9196,9000,14828,35820,52106,45396,15360
CE,7928,15012,43266,173844,206146,44208,29264,18342,9118,6574,4750,6882,2264,3968,1254,844,882,868,1214,674,1124,1440,5366,5532,10160,24080,19974,117574,12950
DF,10210,32672,40410,67600,71952,50346,29998,18872,8512,5668,3904,2940,2386,1734,3518,930,1700,2050,2590,5086,9196,24588,45340,50960,50380,32246,18300,14884,4716
ES,9390,53466,120972,207142,186268,117760,56550,30642,12350,9176,5180,5328,5406,3824,5974,2256,1824,1398,2114,3726,4450,7884,16232,24248,45596,57746,55014,45894,18942
GO,10924,31460,59364,70996,66762,73728,69236,53928,34468,59294,69592,43048,26436,46228,19160,10546,16838,16302,19238,15366,25122,36514,49192,51610,73228,78896,70398,63456,18024
MA,2466,4754,7614,15546,14406,14856,13076,11534,4458,6582,6798,4794,4268,3994,1644,3370,3616,3530,2806,2102,1800,2620,2552,1400,2054,2998,4588,11122,6516
MG,66340,183316,280790,380716,364078,285530,192146,185928,71850,69640,61998,42680,24784,30978,9200,6284,9286,8162,19024,25912,38552,64702,86148,58226,129262,122290,115900,103558,58230
MS,6358,15446,16836,38878,42042,37684,44436,34166,17100,14910,10396,7494,2734,2566,2102,2490,1814,1510,2346,1564,3954,4274,10410,6154,7524,6402,7094,6584,5166
MT,10264,24628,36222,54572,54968,46384,36546,27832,12688,10802,7142,6584,6274,3542,3464,2082,3658,2416,2478,2216,1690,3698,6218,6128,19648,24142,28406,28886,15788
PA,6590,8352,9538,18642,29042,39886,37378,32538,15440,20440,17426,14928,10408,5830,3908,4384,5446,6348,4112,4282,3000,2140,3156,2906,3672,6600,7674,13700,6600
PB,1724,5610,17822,34018,45744,45174,39628,28678,10370,15074,10840,5012,6174,3850,1904,2036,1554,1284,1352,896,2322,1344,4246,4896,9804,12304,15924,13792,4652
PE,5938,11820,24892,55764,66848,62060,69096,68468,39620,33348,29616,23324,18296,14898,11810,8518,10854,7484,7178,3110,8048,8356,11938,17358,21898,32330,33478,26132,9520
PI,19814,884,-13488,7782,16136,13560,10430,6002,1728,1272,1322,636,382,370,192,78,16,22,36,20,32,32,290,264,5532,4702,6582,7216,3162
PR,54850,134972,220302,275936,276400,213022,163430,113218,59678,50090,32052,22388,20758,18006,15460,16716,25650,30180,37266,42386,21536,54212,43124,33224,44682,45052,36402,32910,13660
RJ,59264,112454,326710,291642,210214,123902,90184,67546,34810,50136,44576,40154,27928,31610,17706,29186,17258,19590,24134,12490,31278,47948,69850,62744,83348,78376,62208,50730,24612
RN,5464,7854,18620,40368,33770,31918,24698,16944,6162,9020,15446,6258,4112,5418,2956,1524,1588,700,1016,564,1744,4144,6452,8752,13200,13538,13568,10978,3806
RO,3240,7540,20140,27814,35042,31452,24240,25744,13222,9296,7284,9240,6358,3194,3092,5074,1956,1408,1714,454,940,1734,3380,3626,8302,12414,17236,12496,8148
RR,1594,5286,7754,10450,7952,5192,6508,3508,1556,1152,478,496,282,132,220,50,120,148,150,100,190,192,320,406,2522,7024,9524,6598,2738
RS,45824,103716,217422,247200,218694,178284,159218,119328,63216,63670,48378,46710,35388,31942,24496,26056,30022,33198,46462,32390,66396,61676,57258,42538,50110,46296,46878,45482,19872
SC,34674,75300,125290,148488,122246,95436,77844,59612,36176,31404,26290,21440,15290,12458,13748,11050,12066,12872,16692,12614,26020,25750,24166,19174,25936,25198,23470,24424,8920
SE,552,2166,6150,14652,25412,20624,9248,4666,1776,2444,2744,2658,2216,1042,362,222,142,136,220,218,152,178,370,744,2108,3522,6226,6376,3260
SP,29288,54064,94160,186270,203586,195408,182980,163204,93290,132202,106742,102694,85516,71596,60980,50794,52978,65974,50546,24048,80278,55916,127100,80376,101542,112020,111512,94004,40520
TO,6376,8822,21974,26786,25690,17596,11332,7086,2004,3104,1408,1710,1174,1052,320,862,470,480,876,736,1264,1804,408,3944,5048,20306,12422,9914,4148
