regiao,estado,measure,semanaEpi,counts
Centro-Oeste,DF,casosNovos,1,10210
Centro-Oeste,DF,casosNovos,2,32672
Centro-Oeste,DF,casosNovos,3,40410
Centro-Oeste,DF,casosNovos,4,67600
Centro-Oeste,DF,casosNovos,5,71952
Centro-Oeste,DF,casosNovos,6,50346
Centro-Oeste,DF,casosNovos,7,29998
Centro-Oeste,DF,casosNovos,8,18872
Centro-Oeste,DF,casosNovos,9,8512
Centro-Oeste,DF,casosNovos,10,5668
Centro-Oeste,DF,casosNovos,11,3904
Centro-Oeste,DF,casosNovos,12,2940
Centro-Oeste,DF,casosNovos,13,2386
Centro-Oeste,DF,casosNovos,14,1734
Centro-Oeste,DF,casosNovos,15,3518
Centro-Oeste,DF,casosNovos,16,930
Centro-Oeste,DF,casosNovos,17,1700
Centro-Oeste,DF,casosNovos,18,2050
Centro-Oeste,DF,casosNovos,19,2590
Centro-Oeste,DF,casosNovos,20,5086
Centro-Oeste,DF,casosNovos,21,9196
Centro-Oeste,DF,casosNovos,22,24588
Centro-Oeste,DF,casosNovos,23,45340
Centro-Oeste,DF,casosNovos,24,50960
Centro-Oeste,DF,casosNovos,25,50380
Centro-Oeste,DF,casosNovos,26,32246
Centro-Oeste,DF,casosNovos,27,18300
Centro-Oeste,DF,casosNovos,28,14884
Centro-Oeste,DF,casosNovos,29,4716
Centro-Oeste,DF,casosNovos,52,0
Centro-Oeste,DF,obitosNovos,1,22
Centro-Oeste,DF,obitosNovos,2,14
Centro-Oeste,DF,obitosNovos,3,26
Centro-Oeste,DF,obitosNovos,4,50
Centro-Oeste,DF,obitosNovos,5,106
Centro-Oeste,DF,obitosNovos,6,126
Centro-Oeste,DF,obitosNovos,7,126
Centro-Oeste,DF,obitosNovos,8,132
Centro-Oeste,DF,obitosNovos,9,104
Centro-Oeste,DF,obitosNovos,10,94
Centro-Oeste,DF,obitosNovos,11,86
Centro-Oeste,DF,obitosNovos,12,44
Centro-Oeste,DF,obitosNovos,13,30
Centro-Oeste,DF,obitosNovos,14,44
Centro-Oeste,DF,obitosNovos,15,34
Centro-Oeste,DF,obitosNovos,16,22
Centro-Oeste,DF,obitosNovos,17,26
Centro-Oeste,DF,obitosNovos,18,18
Centro-Oeste,DF,obitosNovos,19,20
Centro-Oeste,DF,obitosNovos,20,28
Centro-Oeste,DF,obitosNovos,21,12
Centro-Oeste,DF,obitosNovos,22,4
Centro-Oeste,DF,obitosNovos,23,14
Centro-Oeste,DF,obitosNovos,24,18
Centro-Oeste,DF,obitosNovos,25,76
Centro-Oeste,DF,obitosNovos,26,40
Centro-Oeste,DF,obitosNovos,27,48
Centro-Oeste,DF,obitosNovos,28,26
Centro-Oeste,DF,obitosNovos,29,16
Centro-Oeste,DF,obitosNovos,52,0
Centro-Oeste,GO,casosNovos,1,10924
Centro-Oeste,GO,casosNovos,2,31460
Centro-Oeste,GO,casosNovos,3,59364
Centro-Oeste,GO,casosNovos,4,70996
Centro-Oeste,GO,casosNovos,5,66762
Centro-Oeste,GO,casosNovos,6,73728
